year,fatal_accidents,severe_accidents,slight_accidents,total_accidents,killed,severely_injured,slightly_injured,total_injured
1960,970.0,2514.0,13739.0,17223.0,1036.0,2983.0,18553.0,22572.0
1961,1020.0,2548.0,14490.0,18058.0,1083.0,3031.0,19867.0,23981.0
1962,1022.0,2454.0,14042.0,17518.0,1123.0,2942.0,19496.0,23561.0
1963,1126.0,2555.0,14549.0,18230.0,1217.0,3068.0,20332.0,24617.0
1964,1202.0,2739.0,15397.0,19338.0,1308.0,3370.0,21565.0,26243.0
1965,1204.0,2517.0,14423.0,18144.0,1313.0,3158.0,20460.0,24931.0
1966,1168.0,3645.0,11397.0,16210.0,1313.0,4700.0,16730.0,22743.0
1967,968.0,4011.0,10429.0,15408.0,1077.0,5304.0,15697.0,22078.0
1968,1133.0,4607.0,11077.0,16817.0,1262.0,6117.0,16917.0,24296.0
1969,1158.0,5085.0,11094.0,17337.0,1275.0,5989.0,16670.0,23934.0
1970,1158.0,5124.0,10354.0,16636.0,1307.0,6614.0,15616.0,23537.0
1971,1093.0,5460.0,9869.0,16422.0,1213.0,7031.0,14841.0,23085.0
1972,1053.0,5154.0,9806.0,16013.0,1194.0,6657.0,14599.0,22450.0
1973,1076.0,5632.0,10194.0,16902.0,1177.0,7264.0,15287.0,23728.0
1974,1089.0,5494.0,9460.0,16043.0,1197.0,6982.0,13920.0,22099.0
1975,1046.0,5284.0,9717.0,16047.0,1172.0,6728.0,14081.0,21981.0
1976,1035.0,5186.0,10822.0,17043.0,1168.0,6679.0,15164.0,23011.0
1977,922.0,5017.0,10290.0,16229.0,1031.0,6529.0,14387.0,21947.0
1978,934.0,4969.0,10125.0,16028.0,1034.0,6431.0,14142.0,21607.0
1979,820.0,4638.0,9966.0,15424.0,926.0,6036.0,13516.0,20478.0
1980,755.0,4656.0,9820.0,15231.0,848.0,6064.0,13182.0,20094.0
1981,693.0,4761.0,9347.0,14801.0,784.0,5984.0,12570.0,19338.0
1982,681.0,4706.0,9901.0,15288.0,758.0,5950.0,13327.0,20035.0
1983,706.0,4840.0,10302.0,15848.0,779.0,6063.0,13740.0,20582.0
1984,717.0,4842.0,10972.0,16531.0,801.0,6068.0,14567.0,21436.0
1985,695.0,4504.0,10730.0,15929.0,808.0,5814.0,14857.0,21479.0
1986,748.0,4535.0,11394.0,16677.0,844.0,5804.0,15810.0,22458.0
1987,717.0,4203.0,10732.0,15652.0,787.0,5423.0,15044.0,21254.0
1988,722.0,4584.0,11901.0,17207.0,813.0,5869.0,16969.0,23651.0
1989,790.0,4545.0,12634.0,17969.0,904.0,5790.0,17741.0,24435.0
1990,704.0,4340.0,11931.0,16975.0,772.0,5501.0,16996.0,23269.0
1991,667.0,3814.0,11522.0,16003.0,745.0,4832.0,16225.0,21802.0
1992,667.0,3722.0,11210.0,15599.0,759.0,4705.0,16022.0,21486.0
1993,573.0,3479.0,10907.0,14959.0,632.0,4334.0,15407.0,20373.0
1994,528.0,3355.0,12005.0,15888.0,589.0,4221.0,16862.0,21672.0
1995,519.0,3137.0,11970.0,15626.0,572.0,3965.0,17208.0,21745.0
1996,488.0,3048.0,11785.0,15321.0,537.0,3837.0,16973.0,21347.0
1997,493.0,3067.0,12192.0,15752.0,541.0,3917.0,17363.0,21821.0
1998,490.0,3004.0,12020.0,15514.0,531.0,3883.0,17473.0,21887.0
1999,516.0,3113.0,12205.0,15834.0,580.0,4043.0,17921.0,22544.0
2000,535.0,3104.0,12131.0,15770.0,591.0,4103.0,17929.0,22623.0
2001,511.0,3100.0,12185.0,15796.0,583.0,4058.0,18272.0,22913.0
2002,490.0,3420.0,13037.0,16947.0,560.0,4592.0,20155.0,25307.0
2003,460.0,3446.0,14459.0,18365.0,529.0,4664.0,22439.0,27632.0
2004,430.0,3082.0,14517.0,18029.0,480.0,4022.0,22560.0,27062.0
2005,406.0,3004.0,14684.0,18094.0,440.0,3915.0,22544.0,26899.0
2006,404.0,3002.0,14807.0,18213.0,445.0,3959.0,22677.0,27081.0
2007,426.0,2979.0,15143.0,18548.0,471.0,3824.0,22925.0,27220.0
2008,355.0,2868.0,15239.0,18462.0,397.0,3657.0,22591.0,26645.0
2009,336.0,2729.0,14793.0,17858.0,358.0,3460.0,21821.0,25639.0
2010,249.0,2325.0,13930.0,16504.0,266.0,2888.0,20417.0,23571.0
2011,292.0,2502.0,13325.0,16119.0,319.0,3127.0,19233.0,22679.0
2012,258.0,2381.0,13819.0,16458.0,285.0,2976.0,19849.0,23110.0
2013,247.0,2245.0,12323.0,14815.0,260.0,2721.0,17541.0,20522.0
2014,254.0,1930.0,10742.0,12926.0,270.0,2395.0,15130.0,17795.0
2015,240.0,2012.0,12420.0,14672.0,259.0,2445.0,17198.0,19902.0
2016,243.0,1947.0,11861.0,14051.0,270.0,2347.0,16316.0,18933.0
2017,233.0,1866.0,12750.0,14849.0,252.0,2275.0,17387.0,19914.0
2018,298.0,1803.0,12132.0,14233.0,324.0,2195.0,16306.0,18825.0
2019,200.0,1634.0,11850.0,13684.0,221.0,1951.0,15768.0,17940.0
2020,189.0,1426.0,10628.0,12243.0,204.0,1645.0,13709.0,15558.0
2021,194.0,1483.0,10948.0,12625.0,210.0,1718.0,14219.0,16147.0
2022,208.0,1671.0,10729.0,12608.0,227.0,1891.0,13370.0,15488.0
2023,217.0,1549.0,9967.0,11733.0,229.0,1789.0,12923.0,14941.0
2024,193.0,1405.0,9652.0,11250.0,213.0,1597.0,12268.0,14078.0
